Date,Time,Data,MMSI,Type,Message,NMEA,Slot,Slots
Tue Jul 22 2025,21:00:33,607a12602424e4d0252140000000000000000000,512006153,Static data report,"Name: INSPIRE","!AIVDM,1,1,,,H7`BH2@Tq=0U8D0000000000000,2*33
",1240,1
Tue Jul 22 2025,21:00:36,487a127a4c000032b12a075d44dedd9ffc874e0006,512007827,Standard Class B equipment position report,"Lat: -17.7746° Lon: 177.182° Speed: 0 knts Course: 354.5°","!AIVDM,1,1,,,B7`BNTh003:i:PMMA=sMWwj7CP06,0*62
",1377,1
Tue Jul 22 2025,21:00:40,604052fae05013413873e0c80000000000000000,269795000,Static data report,"Name: TAMANGO 2","!AIVDM,1,1,,,H41Bvf1@4l4pLv3800000000000,2*16
",1506,1
Tue Jul 22 2025,21:00:43,607a126025244d25042c739a345cb0c770301c3100,512006153,Static data report,"Type: Vessel - Sailing Vendor ID: SRTDKGN Callsign: ZME2017","!AIVDM,1,1,,,H7`BH2DTCBD4;7>J=5jhio0h7340,0*0d
",1646,1
Tue Jul 22 2025,21:00:57,483c850ac00001b2b19dc75d49e4a60fff25de0006,253838000,Standard Class B equipment position report,"Lat: -17.7724° Lon: 177.188° Speed: 0.1 knts Course: 265.6°","!AIVDM,1,1,,,B3j52d000K:iWLMMBNBV3wtUoP06,0*68
",2164,1
Tue Jul 22 2025,21:01:21,484052fae0000032b1342f5d45e0e10ffaa1c933ca,269795000,Standard Class B equipment position report,"Lat: -17.7741° Lon: 177.182° Speed: 0 knts Course: 360°","!AIVDM,1,1,,,B41Bvf0003:i=2uMAN3Q3wbQjC?:,0*23
",801,1
Tue Jul 22 2025,21:01:25,047bbd223000c0032b07e7f5d529632e13320008b4,518998156,Position report (Scheduled),"Lat: -17.7687° Lon: 177.172° Speed: 0 knts Course: 81.4° Status: Under way using engine","!AIVDM,1,1,,,17fu8S00h0<c1vOmmBUS;Q<j00Rl,0*50
",942,1
Tue Jul 22 2025,21:01:35,4850ae1eec0001b2b1aa875d4bade10ffc61d94c6a,338397115,Standard Class B equipment position report,"Lat: -17.7717° Lon: 177.188° Speed: 0.1 knts Course: 360°","!AIVDM,1,1,,,B52f7fh00K:ib`MMBroQ3wiQnDib,0*34
",1341,1
Tue Jul 22 2025,21:01:36,604052fae1245c400401cdc8099cf1c390402030c4,269795000,Static data report,"Type: Vessel - Sailing Vendor ID: WD@D@\7 Callsign: HBY3109","!AIVDM,1,1,,,H41Bvf4TG4040Lo82Ikihq108334,0*29
",1376,1
Tue Jul 22 2025,21:01:37,487a12a4dc0000b2b192a75d4ab8e10ff8c5de0006,512010551,Standard Class B equipment position report,"Lat: -17.7721° Lon: 177.187° Speed: 0 knts Course: 360°","!AIVDM,1,1,,,B7`Ba=h00;:iTbMMBcSQ3wS5oP06,0*62
",1415,1
Tue Jul 22 2025,21:01:40,483e456af80000b2b158c75d48940b98ed01c9487a,261184190,Standard Class B equipment position report,"Lat: -17.773° Lon: 177.184° Speed: 0 knts Course: 18.5°","!AIVDM,1,1,,,B3q5JgP00;:iF<MMB9@;V>l1jDQr,0*05
",1507,1
Tue Jul 22 2025,21:01:44,6050ae1eec0cf1042573cd40c140000000000000,338397115,Static data report,"Name: CODDIWOMPLE","!AIVDM,1,1,,,H52f7fh<t@@ULtm0hD000000000,2*11
",1655,1
Tue Jul 22 2025,21:02:03,047bbd22303e00032b07ebf5d52a032e1288018085,518998156,Position report (Scheduled),"Lat: -17.7687° Lon: 177.172° Speed: 0 knts Course: 81.4° Status: Under way using engine","!AIVDM,1,1,,,17fu8S0v00<c1vgmmB`3;Q:80H25,0*26
",135,1
